Instituci¢n,C¢digo Ènico,Nombre del establecimiento,Clasificaci¢n,Tipo,Departamento,Provincia,Distrito,UBIGEO,Direcci¢n,C¢digo DISA,C¢digo Red,C¢digo Microrred,DISA,Red,Microrred,C¢digo UE,Unidad Ejecutora,Categoria,TelÇfono,Tipo Doc.Categorizaci¢n,Nro.Doc.Categorizaci¢n,Horario,Inicio de Actividad,Director MÇdico y/o Responsable de la Atenci¢n de Salud,Estado,NORTE,ESTE,COTA,CAMAS,RUC
SANIDAD DE LA POLICIA NACIONAL DEL PERU,00035992,POLICLINICO POLICIAL CHACHAPOYAS,POLICLINICOS,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N LA MERCED 792 2 A UNA CUADRA DEL COLEGIO VIRGEN ASUNTA CHACHAPOYAS CHACHAPOYAS AMAZONAS ,1,00,00,AMAZONAS, ,NO PERTENECE A NINGUNA MICRORED,0, ,I-3,977711717,RESOLUCI‡N,022-2025-GRA/DRSA,7:30 - 19:30,02/02/1991,ROSA ELENA HUAYANAY VILCAPOMA ,ACTIVO,,,,0,20504380077
PRIVADO,00034978,CASTA•EDA SALUD Y ESTETICA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N SANTA ANA NÈMERO 848 PISO 1 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS, , ,0, ,I-2,901539672,RESOLUCI‡N,854-2024-GRA/DRSA,08:00 - 18:00,30/04/2024,WILLIAMS CASTA•EDA OCAMPO ,ACTIVO,-6.22657109,-77.87143789,,,20612458422
PRIVADO,00033946,BÈHO CENTRO DE PSICOLOGIA Y ESTIMULACION TEMPRANA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N TRIUNFO NÈMERO 848 PISO 2 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS, , ,0, ,I-1,974339583,RESOLUCI‡N,1538-2023,10:00- 20:00,01/04/2016,CELIA BUSTAMANTE MENDOZA SOLTERA,ACTIVO,-6.2301547,-77.8708478,,,20601114543
PRIVADO,00033947,Podolog°a Sana Pies,ORTOPEDIAS Y SERVICIOS DE PODOLOGIA,SERVICIO MêDICO DE APOYO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N Ortiz Arrieta NÈMERO 198 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS, , ,0, ,Sin Categor°a,940758526,RESOLUCI‡N,1534-2023,10:00 - 20:00,01/10/2023,JESUS SALAZAR TORRES ,ACTIVO,-6.22629379,-77.87297747,,,10762798421
PRIVADO,00033944,CONSULTORIO ODONTOLOGICO C&LFARGE,CENTRO ODONTOLOGICO,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N Jir¢n santa Luc°a 125 CHACHAPOYAS CHACHAPOYAS AMAZONAS ,1,00,00,AMAZONAS, ,NO PERTENECE A NINGUNA MICRORED,0, ,I-1,985346251,RESOLUCI‡N,1536-2023,9:00 - 20:00,16/05/2023,LOYDA LUZ GUEVARA CASTA•EDA ,ACTIVO,-6.2301547,-77.8708478,,,10471551487
PRIVADO,00028528,Consultorio MÇdico Amazonas,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N Amazonas NÈMERO 1252 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-2,998672629,RESOLUCI‡N,1092-2020,8.00 - 20.00,01/10/2020,GUILLERMO JULIO SANCHEZ OCAMPO ,ACTIVO,-6.22990406,-77.87527881,,,10339415574
PRIVADO,00020196,CENTRO DE MEDICINA INTEGRAL Y NATURAL SALUD Y VIDA,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,OTROS JN HERMOSURA 185 - YANCE JN HERMOSURA 185 - YANCE CHACHAPOYAS CHACHAPOYAS AMAZONAS ,1,00,00,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-2,922887597,RESOLUCI‡N,787-2025-GRA/DRSA,08:00 - 20:00,02/01/2015,KARIM ISABEL PONCE DIOSES ,ACTIVO,-6.225749,-77.867544,,,20539224817
PRIVADO,00028137,DIAGNOSTIC LAB,PATOLOGIA CLINICA,SERVICIO MêDICO DE APOYO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,PASAJE DANIEL ALCIDES CARRION NÈMERO 105 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,Sin Categor°a,960309526,RESOLUCI‡N,561-2020,8:00 - 18:00,01/06/2020,JUAN CARLOS RAMOS SERRATO ,ACTIVO,-6.2301547,-77.8708478,,,10412489867
PRIVADO,00027978,L„PEZ CONSULTORIO ODONTOL„GICO,CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N AMAZONAS NÈMERO 742 PISO 1 URBANIZACI‡N BARRIO LA LAGUNA DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS,NO PERTENECE A NINGUNA RED,NO PERTENECE A NINGUNA MICRORED,0, ,I-1,966545754,RESOLUCI‡N,219-2020,9:00 - 20:00,04/02/2020,ALFREDO MART÷N L‡PEZ VILLA ,ACTIVO,-6.2301547,-77.8708478,,,10404357854
PRIVADO,00026835,"""PERU JAPON""",CONSULTORIOS MEDICOS Y DE OTROS PROFESIONALES DE LA SALUD,ESTABLECIMIENTO DE SALUD SIN INTERNAMIENTO,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,JIR‡N AMAZONAS NÈMERO 120 DISTRITO CHACHAPOYAS PROVINCIA CHACHAPOYAS DEPARTAMENTO AMAZONAS ,1,00,00,AMAZONAS, , ,0, ,I-1,(051) 041-477179,RESOLUCI‡N,1310-2023,7:00 - 19:00,02/04/2019,MARCOS DANIEL GARC÷A RODR÷GUEZ ,ACTIVO,-6.2301547,-77.8708478,,,20222049807
