NOMBRE_DEPARTAMENTO,NOMBRE_PROVINCIA,NOMBRE_DISTRITO,CODIGO_UBIGEO,CODIGO_DEPARTAMENTO,CODIGO_PROVINCIA,CODIGO_DISTRITO
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,01,07,01
AMAZONAS,CHACHAPOYAS,ASUNCION,010102,01,06,01
AMAZONAS,CHACHAPOYAS,BALSAS,010103,01,05,01
AMAZONAS,CHACHAPOYAS,CHETO,010104,01,03,01
AMAZONAS,CHACHAPOYAS,CHILIQUIN,010105,01,02,01
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,01,01,01
AMAZONAS,CHACHAPOYAS,GRANADA,010107,01,04,01
AMAZONAS,CHACHAPOYAS,HUANCAS,010108,01,01,02
AMAZONAS,CHACHAPOYAS,LA JALCA,010109,01,07,02
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,01,06,02
AMAZONAS,CHACHAPOYAS,LEVANTO,010111,01,05,02
AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,01,03,02
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,01,04,02
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,01,02,02
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,01,05,03
AMAZONAS,CHACHAPOYAS,OLLEROS,010116,01,04,03
AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,01,02,03
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,01,07,03
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,01,06,03
AMAZONAS,CHACHAPOYAS,SOLOCO,010120,01,01,03
AMAZONAS,CHACHAPOYAS,SONCHE,010121,01,03,03
AMAZONAS,BAGUA,BAGUA,010201,01,07,04
AMAZONAS,BAGUA,ARAMANGO,010202,01,05,04
AMAZONAS,BAGUA,COPALLIN,010203,01,06,04
AMAZONAS,BAGUA,EL PARCO,010204,01,01,04
AMAZONAS,BAGUA,IMAZA,010205,01,03,04
AMAZONAS,BAGUA,LA PECA,010206,01,02,04
